px;qty;num
19978.26;0.05055495;844439036475355
19979.01;0.4549775;844439036475357
19980.01;0.75825788;844439036475359
19981.0;1.26370052;844439036475361
19982.0;2.52727455;844439036475363
20004.34;0.81473033;844439036475242
20005.29;0.02409276;844439036475332
20006.9;0.2;844439036473716
20500.0;0.011;844439035316562
21262.75;0.00050051;844439036384684
21468.18;0.00050051;844439036384715
21513.0;0.0013;844439027044138
21776.34;0.00050051;844439036384772
22187.21;0.00050051;844439036384781
22254.0;0.6922234;844439002917282
23333.0;0.0005;844438993710186
23800.0;0.115;844438974359667
23820.15;0.02651543;844438994398888
24554.55;0.01134565;844438968593068
24800.0;0.06143287;844438990572235
24999.0;0.01348985;844438936299289
24999.0;0.01348985;844438936305843
25000.0;0.02472352;844438908746363
25100.0;0.46394751;844438909210351
25200.0;0.02882627;844438974920348
25440.0;0.00202302;844438901830675
25555.0;0.0005;844438993710240
26000.0;0.01258;844439034565941
26067.67;0.18;844438940520024
26700.0;0.00554;844438912597694
27500.0;0.00199844;844438931329635
27777.0;0.0005;844438993710791
28000.0;0.00306885;844438899028894
28364.0;0.00894455;844438939438974
28364.0;0.006;844438908959671
28982.0;0.105;844438855161001
29294.58;0.05634366;844438951332201
29700.0;0.00554584;844438912603367
29900.0;0.1;844438948651238
29999.0;0.0005;844438993711044
30000.0;0.02601642;844438907656736
30000.0;0.00058811;844438713560849
30161.85;0.00445389;844438690797760
31111.0;0.0005;844438993711142
31500.0;0.00554584;844438912606288
33333.0;0.0005;844438993711397
34738.0;0.006;844438908961357
35000.0;0.10111451;844438893238492
35555.0;0.0005;844438993711432
37777.0;0.0005;844438993711669
39999.0;0.0005;844438993711815
57775.0;0.0005;844438993739953
7859249.0;0.067;844438978390855
