px;qty;num
19975.87;0.050561;844439036475354
19975.12;0.4550661;844439036475356
19974.12;0.75848148;844439036475358
19973.12;1.26419908;844439036475360
19972.12;2.52852476;844439036475362
19950.71;0.02106604;844439036473707
19950.7;0.2;844439036473281
19942.07;0.05265251;844439036475343
19647.73;0.07;844439030164381
19400.0;0.00108301;844438664499609
19000.0;0.00260929;844439033281686
18999.0;0.00759141;844438969475650
18940.0;0.00893889;844438866584788
18771.0;0.00135012;844439027020055
18101.0;0.01876359;844438939354749
18000.0;0.00058754;844438936120471
18000.0;0.01;844438738335688
18000.0;0.00481783;844438883543678
17727.7;0.294596;844439025572128
17500.0;0.09367384;844439032109282
17200.0;0.2;844438579439646
17000.0;0.02;844438738337218
17000.0;0.00878893;844438753698490
16677.0;1.04635338;844439032301484
16000.0;0.01;844438738338402
16000.0;0.00050001;844438482812285
16000.0;0.1;844439032146384
15800.0;0.3;844438501478808
15192.81;0.0005;844438431522498
15000.0;0.00050001;844438482812917
15000.0;0.08327064;844439032164447
14250.0;0.14518018;844439032198410
14000.0;0.00697273;844438738341271
14000.0;0.00050001;844438482827472
13500.0;3.01460732;844439018558262
13000.0;0.066036;844438463444610
13000.0;0.00050001;844438482828053
13000.0;3.13055376;844439018568059
12000.0;0.00050001;844438482828189
10000.0;0.00111468;844438685977574
10000.0;0.0024187;844438502254718
3500.0;0.18753069;844438529549677
1200.0;0.22284197;844438529548442
70.0;1.75;844438974719184
60.0;0.35;844438782385630
4.44;4.37114902;844438529526463
4.44;3.02618355;844438529625697
1.8;7.45715496;844438529639360
